day,site,deploy,spl_linear,spl_db
1,Indra,May,1.3989E+12,121.4578708
2,Indra,May,1.73897E+12,122.4029273
3,Indra,May,1.63924E+12,122.1464256
4,Indra,May,1.79871E+12,122.5496023
5,Indra,May,1.72408E+12,122.3655714
6,Indra,May,2.10007E+12,123.2223293
7,Indra,May,2.06394E+12,123.1469652
1,Indra,Jul,2.05522E+12,123.128583
2,Indra,Jul,2.19473E+12,123.4138181
3,Indra,Jul,1.98309E+12,122.9734148
4,Indra,Jul,2.03208E+12,123.0794139
5,Indra,Jul,2.06003E+12,123.1387311
6,Indra,Jul,2.14946E+12,123.3232872
1,Indra,Sep,2.02337E+12,123.0607489
2,Indra,Sep,2.36733E+12,123.7425793
3,Indra,Sep,2.22812E+12,123.4793838
4,Indra,Sep,1.99032E+12,122.9892301
1,Indra,Oct,1.97646E+12,122.9588872
2,Indra,Oct,2.40899E+12,123.8183414
3,Indra,Oct,2.57337E+12,124.1050232
4,Indra,Oct,2.53891E+12,124.0464675
5,Indra,Oct,2.58285E+12,124.1209926
1,Indra,Dec,9.51086E+11,119.7821987
2,Indra,Dec,1.04574E+12,120.1942475
3,Indra,Dec,1.46405E+12,121.6555485
4,Indra,Dec,1.64267E+12,122.1555074
5,Indra,Dec,1.31521E+12,121.1899454
1,Indra,Apr,1.38142E+12,121.4032728
2,Indra,Apr,1.73722E+12,122.3985499
3,Indra,Apr,1.7133E+12,122.3383349
4,Indra,Apr,1.89267E+12,122.7707521
5,Indra,Apr,2.04622E+12,123.1095235
6,Indra,Apr,1.88741E+12,122.7586721
1,JJTug,May,16722210917,102.232937
2,JJTug,May,18043210340,102.5631381
3,JJTug,May,17981430079,102.5482423
4,JJTug,May,20479822876,103.113262
5,JJTug,May,20041850902,103.0193783
6,JJTug,May,19945221311,102.9983886
7,JJTug,May,18334454929,102.63268
1,JJTug,Jul,59771897975,107.7649705
2,JJTug,Jul,51870034625,107.1491654
3,JJTug,Jul,58294370690,107.6562662
4,JJTug,Jul,64865609908,108.1201451
5,JJTug,Jul,71966718288,108.571317
6,JJTug,Jul,67802529145,108.3124589
1,JJTug,Sep,60017347855,107.782768
2,JJTug,Sep,1.01001E+11,110.0432445
3,JJTug,Sep,99914440145,109.9962826
4,JJTug,Sep,75820255672,108.7978524
1,JJTug,Oct,60569248323,107.8225218
2,JJTug,Oct,66005795543,108.1958207
3,JJTug,Oct,65589797331,108.1683629
4,JJTug,Oct,64654981625,108.1060199
5,JJTug,Oct,66677216199,108.2397746
1,JJTug,Dec,31099494962,104.9275334
2,JJTug,Dec,30815008571,104.8876229
3,JJTug,Dec,56298477274,107.5049665
4,JJTug,Dec,80237928669,109.0437971
5,JJTug,Dec,45360244414,106.5667539
1,JJTug,Apr,1.02704E+11,110.1158747
2,JJTug,Apr,1.10359E+11,110.4280584
3,JJTug,Apr,1.20169E+11,110.7979193
4,JJTug,Apr,2.73045E+11,114.3623467
5,JJTug,Apr,2.07463E+11,113.169408
6,JJTug,Apr,1.73405E+11,112.390625
