site,deploy,spl_linear,spl_db
Indra,May,1275779507340.56,121.057756218618
Indra,May,2081760462357.28,123.184307559808
Indra,May,2296063084873.6,123.60983816233
Indra,May,2119837147460.36,123.263024983458
Indra,May,1753463798730.37,122.438968040505
Indra,May,1457617431625.38,121.636435533813
Indra,May,1479381014301.66,121.700800408652
Indra,Jul,1162597894249.42,120.65429532007
Indra,Jul,2111990071915.47,123.246918723265
Indra,Jul,2937617058003.46,124.679951813673
Indra,Jul,2883035646634.3,124.598500121561
Indra,Jul,2350551367923.38,123.7116974651
Indra,Jul,1887381242680.14,122.758596345946
Indra,Jul,1591681263909.32,122.01856104115
Indra,Jul,1707954321789.89,122.324762515638
Indra,Sep,2800931005846.22,124.473024111623
Indra,Sep,1557878502456.45,121.925335844211
Indra,Sep,2361155104471.09,123.731245168557
Indra,Sep,2295433109749.43,123.608646416936
Indra,Sep,2385428113578.28,123.775663333466
Indra,Sep,1615803298165.25,122.083884902746
Indra,Sep,2049353166002.65,123.116168070247
Indra,Oct,1578100633113.17,121.981346940649
Indra,Oct,2181095812715.24,123.386747439921
Indra,Oct,3626489242976.44,125.594863935797
Indra,Oct,3345207438538.13,125.244230538285
Indra,Oct,2511659809333.88,123.99960816222
Indra,Oct,1987096482416.22,122.982189545601
Indra,Oct,1683157154234.12,122.261246673902
Indra,Dec,839669147535.102,119.241081959375
Indra,Dec,1482238395778.61,121.709180590042
Indra,Dec,1744807684126.57,122.417475652061
Indra,Dec,1597000026781.8,122.033049234216
Indra,Dec,1268883084149.45,121.034216077149
Indra,Dec,1003910833362.95,120.016951407989
Indra,Dec,1049747756013.43,120.210849549442
Indra,Apr,1398253371498.99,121.455858751819
Indra,Apr,1796504996123.06,122.544284293256
Indra,Apr,2719574750412.72,124.345010003623
Indra,Apr,2040960818641.31,123.098346674249
Indra,Apr,1816027939000.62,122.591225257162
Indra,Apr,1078931333049.33,120.329938055479
Indra,Apr,1584373577410.69,121.99857591066
JJTug,May,16054150369.6666,102.055873264376
JJTug,May,23795359972.6559,103.764922791266
JJTug,May,23065864739.323,103.629697409506
JJTug,May,20101756332.0997,103.03234004287
JJTug,May,16601645350.3593,102.201511320865
JJTug,May,15841079879.8172,101.997847839366
JJTug,May,16088344710.5724,102.065113629278
JJTug,Jul,50656455800.9856,107.046348009318
JJTug,Jul,79655411999.8105,109.012152882577
JJTug,Jul,80338224059.4717,109.049222270758
JJTug,Jul,70696158775.1327,108.493958173601
JJTug,Jul,63736073723.539,108.043853065064
JJTug,Jul,54619413680.1434,107.373470338329
JJTug,Jul,51264465673.8842,107.09816435111
JJTug,Jul,48462010463.2832,106.854014270322
JJTug,Sep,98132850188.5638,109.918144127567
JJTug,Sep,81310537074.671,109.101468296882
JJTug,Sep,72081400752.1061,108.57823217663
JJTug,Sep,61385309699.1642,107.880644512726
JJTug,Sep,94649122397.6802,109.761165914682
JJTug,Sep,74788145750.9496,108.738327657396
JJTug,Sep,106969962648.037,110.292618441565
JJTug,Oct,47179886345.7978,106.737568903552
JJTug,Oct,76991941260.1765,108.864452699855
JJTug,Oct,97899485600.9201,109.907804098699
JJTug,Oct,80880607909.8097,109.078444068125
JJTug,Oct,51184790398.5667,107.091409291929
JJTug,Oct,51621497496.7368,107.128305989125
JJTug,Oct,47137645616.2928,106.733678870261
JJTug,Dec,37162119037.909,105.701004701287
JJTug,Dec,67775135060.8797,108.310703917064
JJTug,Dec,67378526622.348,108.28521509958
JJTug,Dec,50116061204.1758,106.999769309472
JJTug,Dec,45436432486.7198,106.574042247242
JJTug,Dec,34022259503.8781,105.317631528239
JJTug,Dec,39445081530.8808,105.959928580609
JJTug,Apr,173788311901.703,112.400205647059
JJTug,Apr,203190135530.262,113.079026200058
JJTug,Apr,199117993561.021,112.991105073964
JJTug,Apr,187623671057.629,112.732876291454
JJTug,Apr,153379947670.045,111.857685852617
JJTug,Apr,109774747719,110.405024476951
JJTug,Apr,124794475574.679,110.961953603421
