day,site,deploy,spl_linear,spl_db
1,Indra,May,71211727077,108.5255152
2,Indra,May,74046612968,108.695052
3,Indra,May,74954419037,108.7479724
4,Indra,May,74023906493,108.69372
5,Indra,May,75573930035,108.7837201
6,Indra,May,70216228954,108.464375
7,Indra,May,82138693964,109.1454779
1,Indra,Jul,98596149876,109.9385996
2,Indra,Jul,60279700727,107.8017109
3,Indra,Jul,60062222884,107.786014
4,Indra,Jul,68821660762,108.3772515
5,Indra,Jul,62490663923,107.9581514
6,Indra,Jul,64126098995,108.0703482
1,Indra,Sep,1.52727E+11,111.8391633
2,Indra,Sep,1.77714E+11,112.4972174
3,Indra,Sep,5.11807E+11,117.0910587
4,Indra,Sep,4.87084E+11,116.8760397
1,Indra,Oct,75614261351,108.7860371
2,Indra,Oct,88543403808,109.4715621
3,Indra,Oct,92918479214,109.6810209
4,Indra,Oct,1.08813E+11,110.366811
5,Indra,Oct,99772892518,109.9901256
1,Indra,Dec,18931131558,102.7717657
2,Indra,Dec,25643783732,104.0898211
3,Indra,Dec,47128173295,106.7328061
4,Indra,Dec,97046616511,109.869804
5,Indra,Dec,31928066717,105.0417262
1,Indra,Apr,75642663999,108.7876682
2,Indra,Apr,78551087962,108.951522
3,Indra,Apr,1.44098E+11,111.5865729
4,Indra,Apr,1.58714E+11,112.0061514
5,Indra,Apr,2.37905E+11,113.7640307
6,Indra,Apr,3.09018E+11,114.8998359
1,JJTug,May,16462198152,102.1648782
2,JJTug,May,20690160233,103.1576385
3,JJTug,May,22351476934,103.4930623
4,JJTug,May,20197669771,103.0530127
5,JJTug,May,27841452005,104.4469188
6,JJTug,May,22291541161,103.481401
7,JJTug,May,23290938960,103.67187
1,JJTug,Jul,41831608870,106.2150457
2,JJTug,Jul,32548193725,105.1252689
3,JJTug,Jul,30590888345,104.8559209
4,JJTug,Jul,30324539964,104.8179422
5,JJTug,Jul,27331033749,104.3665606
6,JJTug,Jul,27182675134,104.3429219
1,JJTug,Sep,1.74534E+11,112.418808
2,JJTug,Sep,3.40664E+11,115.32326
3,JJTug,Sep,8.55535E+11,119.3223793
4,JJTug,Sep,6.35713E+11,118.032608
1,JJTug,Oct,27902599176,104.4564466
2,JJTug,Oct,20664223723,103.152191
3,JJTug,Oct,30884902360,104.8974623
4,JJTug,Oct,26041310759,104.1566284
5,JJTug,Oct,36754397405,105.6530931
1,JJTug,Dec,900798574.3,89.5462769
2,JJTug,Dec,1564684074,91.94426662
3,JJTug,Dec,4327968426,96.36284084
4,JJTug,Dec,24247375017,103.8466473
5,JJTug,Dec,1627012341,92.11390847
1,JJTug,Apr,37616544202,105.7537889
2,JJTug,Apr,38648869676,105.871368
3,JJTug,Apr,72605907027,108.6097196
4,JJTug,Apr,2.10126E+11,113.224801
5,JJTug,Apr,3.60789E+11,115.5725334
6,JJTug,Apr,3.35807E+11,115.2608977
